config_label,method,seed,val_acc,worst_acc,dp_diff,eo_diff,temperature,weight_scale,lr,w_std_mean,w_max_mean,w_min_mean,phi_std_mean
fairds-2/τ1.0/ws1.0,fairds-2,0,0.8373687267303467,0.7987054586410522,0.20337516069412231,0.14201462268829346,1.0,1.0,0.01,0.09070750117266961,1.2090768547684934,0.8357711505022407,0.06462092369165219
fairds-2/τ1.0/ws1.0,fairds-2,1,0.8336097598075867,0.7953073978424072,0.18223537504673004,0.13751304149627686,1.0,1.0,0.01,0.12962471113448412,1.28208027977339,0.7528425346307911,0.06858147379413178
fairds-2/τ1.0/ws1.0,fairds-2,2,0.8352681398391724,0.7972491383552551,0.20108184963464737,0.16829001903533936,1.0,1.0,0.01,0.10354599513708146,1.2218415271508303,0.7976350356295635,0.05888743159654135
fairds-2/τ1.0/ws2.0,fairds-2,0,0.835157573223114,0.7961164712905884,0.20967653393745422,0.1595073938369751,1.0,2.0,0.01,0.1596795265418543,1.37445450013792,0.7114134724780987,0.0601640353276626
fairds-2/τ1.0/ws2.0,fairds-2,1,0.8317302465438843,0.7925565838813782,0.17468103021383286,0.12335264682769775,1.0,2.0,0.01,0.21479872279743634,1.4957199873498908,0.5853653898261523,0.058282504710827916
fairds-2/τ1.0/ws2.0,fairds-2,2,0.834825873374939,0.7972491383552551,0.20387417078018188,0.18625408411026,1.0,2.0,0.01,0.1780755469216987,1.4012802470457946,0.6560787004527981,0.055029312787061566
fairds-2/τ1.0/ws4.0,fairds-2,0,0.8322830200195312,0.7920711636543274,0.20620222389698029,0.14642256498336792,1.0,4.0,0.01,0.29126781819851744,1.7082191733687138,0.4856377266608113,0.05587728417482874
fairds-2/τ1.0/ws4.0,fairds-2,1,0.831066906452179,0.7915857434272766,0.17047391086816788,0.11528003215789795,1.0,4.0,0.01,0.37213336652573287,1.9188555299396246,0.32727599486636494,0.05675443228806409
fairds-2/τ1.0/ws4.0,fairds-2,2,0.8339414000511169,0.7953073978424072,0.2101755142211914,0.19277989864349365,1.0,4.0,0.01,0.3229617320910586,1.7772955220629911,0.4215173587521118,0.05466656420344898
ren2018/lr0.005,ren2018,0,0.8166943192481995,0.7765371799468994,0.20285246521234512,0.20435714721679688,0.5,1.0,0.005,,,,
ren2018/lr0.005,ren2018,1,0.807296872138977,0.7660194039344788,0.15122077614068985,0.11263042688369751,0.5,1.0,0.005,,,,
ren2018/lr0.005,ren2018,2,0.8237700462341309,0.7854368686676025,0.2256239503622055,0.2507416903972626,0.5,1.0,0.005,,,,
ren2018/lr0.01,ren2018,0,0.8203427195549011,0.7810679078102112,0.20025668293237686,0.18750187754631042,0.5,1.0,0.01,,,,
ren2018/lr0.01,ren2018,1,0.8117191791534424,0.7700647115707397,0.15187057107686996,0.07939115166664124,0.5,1.0,0.01,,,,
ren2018/lr0.01,ren2018,2,0.8287451863288879,0.7893203496932983,0.21050846576690674,0.19321796298027039,0.5,1.0,0.01,,,,
ren2018/lr0.02,ren2018,0,0.8243228197097778,0.7867313623428345,0.20666225999593735,0.1962452232837677,0.5,1.0,0.02,,,,
ren2018/lr0.02,ren2018,1,0.8164731860160828,0.7749190926551819,0.14721275866031647,0.05547228455543518,0.5,1.0,0.02,,,,
ren2018/lr0.02,ren2018,2,0.831066906452179,0.7935274839401245,0.20576763898134232,0.17986124753952026,0.5,1.0,0.02,,,,
ren2018/lr0.05,ren2018,0,0.8263128995895386,0.7885112762451172,0.20676645636558533,0.17441096901893616,0.5,1.0,0.05,,,,
ren2018/lr0.05,ren2018,1,0.8244333863258362,0.7852750420570374,0.16279756277799606,0.08584439754486084,0.5,1.0,0.05,,,,
ren2018/lr0.05,ren2018,2,0.8312880396842957,0.7927184104919434,0.21810516715049744,0.14638328552246094,0.5,1.0,0.05,,,,
